Departamento,Variable1,Variable2,pendiente,intercepto,pearson
 Narino,Abstencion,VotosParaSenado2014,1.29E-07,0.61986613,0.025576504
 Atlantico,Abstencion,TotalPrimeraVuelta,-6.57E-08,0.765780739,-0.064649609
 Cauca,PorcentajeNo,ParticipacionPrimeraVuelta,0.380536206,0.134162261,0.306512164
 Guainia,PorcentajeSi,AbandonoODespojoDeTierras,0,0.649233333,0
 Arauca,Abstencion,Homicidio,0.000401143,0.633295908,0.544707092
 Huila,PorcentajeNo,TotalSegundaVuelta,-3.23E-07,0.630049066,-0.067392406
 Choco,PorcentajeSi,AbandonoODespojoDeTierras,0,0.82164,0
 Boyaca,Abstencion,PorcentajeOscarIvanZuluagaSegundaVuelta,0.062461856,0.576467822,0.125377283
 Bolivar,PorcentajeSi,ParticipacionSegundaVuelta,0.337513071,0.516875163,0.156676863
 Vichada,Abstencion,AfectadoPorElConflictoPares2,0.051522222,0.5738,0.781690727
 Vichada,Abstencion,VinculacionNinosAdolescentes,0.163492781,0.615744517,0.906793484
 Putumayo,PorcentajeSi,Homicidio,0.000986667,0.590292597,0.338069982
 Arauca,PorcentajeNo,PorcentajeOscarIvanZuluagaSegundaVuelta,0.800915208,0.131935688,0.946780643
 La  Guajira,PorcentajeSi,Amenaza,0.007591427,0.588597645,0.497654452
 Putumayo,PorcentajeNo,ParticipacionPrimeraVuelta,0.575882661,0.153582592,0.35705049
 Cordoba,Abstencion,Homicidio,-0.000274825,0.687174398,-0.080302409
 Tolima,Abstencion,PorcentajeOscarIvanZuluagaSegundaVuelta,0.041142019,0.613015103,0.170433659
 Guaviare,PorcentajeSi,PorcentajeOscarIvanZuluagaPrimeraVuelta,-1.015447839,0.907907301,-0.980436799
 Caldas,Abstencion,HectareasDeCoca,0,0.635314815,0
 Quindio,Abstencion,Secuestro,0.006684724,0.597166955,0.109501875
 Risaralda,PorcentajeNo,ParticipacionPrimeraVuelta,1.310734914,-0.011331393,0.658766388
 Huila,PorcentajeNo,Amenaza,-0.002216083,0.658637395,-0.30931589
 Vaupes,Abstencion,MinasAntipersonal,-0.017280264,0.78018383,-0.390189668
 Guaviare,PorcentajeSi,MinasAntipersonal,0.124890034,0.396158127,0.781507308
 Santander,Abstencion,Homicidio,0.000141012,0.604245612,0.043894295
 Cesar,Abstencion,IndiceRuralidad2014,0.101179764,0.632471503,0.381121575
 Cundinamarca,PorcentajeNo,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.117748338,0.519767031,0.198441547
 Amazonas,PorcentajeSi,ParticipacionSegundaVuelta,-0.691955339,1.014758746,-0.591749076
 Narino,PorcentajeNo,AbandonoODespojoDeTierras,0.005888336,0.316875612,0.138106617
 Risaralda,PorcentajeSi,Secuestro,0.065619697,0.383173246,0.66008128
 Antioquia,PorcentajeSi,VotosParaSenado2014,-2.24E-07,0.423156538,-0.06887349
 Sucre,PorcentajeNo,VinculacionNinosAdolescentes,-0.011469259,0.347135041,-0.033513323
 Guaviare,Abstencion,CensoElectoral2016,-4.20E-06,0.726495676,-0.766898852
 Magdalena,PorcentajeSi,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.653509947,0.882116958,-0.611292879
 Arauca,PorcentajeNo,ActosTerroristas,-0.00286824,0.513686673,-0.072232598
 Putumayo,Abstencion,AfectadoPorElConflictoPares2,0.029683333,0.61,0.739761122
 Atlantico,PorcentajeNo,Secuestro,0.015819778,0.306490194,0.016135024
 Guaviare,Abstencion,ParticipacionSegundaVuelta,-0.85193545,0.992621745,-0.836776039
 Sucre,Abstencion,HectareasDeAmapola,0,0.656092308,0
 Guaviare,PorcentajeNo,TotalSegundaVuelta,2.37E-05,0.211276787,0.87565536
 Magdalena,Abstencion,ActosTerroristas,0.009217718,0.754805172,0.068734159
 Cordoba,Abstencion,AfectadoPorElConflictoPares2,-0.012364198,0.686992593,-0.226152793
 Guaviare,Abstencion,MinasAntipersonal,0.072501093,0.513522682,0.870101571
 Boyaca,PorcentajeSi,ParticipacionPrimeraVuelta,-0.641682133,0.777900273,-0.374021563
 Caqueta,PorcentajeSi,ActosTerroristas,-0.00794241,0.548237687,-0.172426922
 Choco,PorcentajeSi,TotalPrimeraVuelta,-5.36E-06,0.83659403,-0.216627959
 Casanare,Abstencion,AfectadoPorElConflictoPares2,-0.001746667,0.508973333,-0.025494844
 Amazonas,Abstencion,HectareasDeAmapola,0,0.737827273,0
 Amazonas,PorcentajeSi,CensoElectoral2016,-1.03E-05,0.848148964,-0.893327309
 Risaralda,PorcentajeSi,TotalPrimeraVuelta,1.01E-07,0.430826943,0.05941024
 Narino,PorcentajeSi,Homicidio,0.003545755,0.601816551,0.471079875
 Vaupes,PorcentajeSi,CensoElectoral2016,-8.70E-06,0.884178944,-0.700349784
 Amazonas,PorcentajeSi,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.679790575,1.067641585,-0.718845851
 Risaralda,Abstencion,TotalPrimeraVuelta,-4.83E-07,0.638515197,-0.533514351
 Cundinamarca,PorcentajeSi,Secuestro,0.018131136,0.427516805,0.118881761
 Huila,Abstencion,ParticipacionSegundaVuelta,-0.122163073,0.674746654,-0.191246031
 Santander,PorcentajeSi,ParticipacionPrimeraVuelta,-0.961841762,0.883270937,-0.349284553
 Valle  del  Cauca,PorcentajeNo,ParticipacionSegundaVuelta,-0.037419877,0.547284847,-0.012840622
 Valle  del  Cauca,PorcentajeSi,ParticipacionPrimeraVuelta,-0.851175807,0.790650852,-0.287391404
 Putumayo,Abstencion,VinculacionNinosAdolescentes,0.039194512,0.615101349,0.687750161
 Amazonas,Abstencion,VinculacionNinosAdolescentes,-0.027759543,0.747164573,-0.347797939
 Meta,PorcentajeNo,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.763803337,0.202191,0.559480922
 Vaupes,PorcentajeNo,VotosParaSenado2014,4.16E-05,0.118750342,0.706104136
 Vaupes,PorcentajeNo,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.582507306,0.065941494,0.779072404
 Bolivar,Abstencion,HectareasDeAmapola,0,0.723280435,0
 Caqueta,PorcentajeSi,Amenaza,0.000296792,0.469803025,0.066800517
"Archipielago  de  San  Andres, Providencia y Santa Catalina",PorcentajeNo,Secuestro,30.64,0.1815,1
 Caqueta,PorcentajeSi,TotalPrimeraVuelta,-2.20E-06,0.506574474,-0.174471486
 Tolima,PorcentajeNo,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.364885819,0.423648684,0.580139979
 Arauca,Abstencion,CensoElectoral2016,-6.19E-07,0.680435086,-0.59333312
 Risaralda,PorcentajeNo,AfectadoPorElConflictoPares2,-0.170766667,0.591116667,-0.764515638
 Norte  de  Santander,PorcentajeSi,TotalPrimeraVuelta,-6.56E-07,0.425740833,-0.104705905
 Cesar,PorcentajeSi,ActosTerroristas,0.003396212,0.529031958,0.152185071
 Huila,Abstencion,VinculacionNinosAdolescentes,0.016301779,0.608822996,0.138210582
 Magdalena,PorcentajeSi,Homicidio,-8.41E-06,0.695729351,-0.001022436
 Quindio,PorcentajeSi,Homicidio,-0.000210452,0.38220783,-0.122686959
 Bolivar,PorcentajeNo,Secuestro,0.019753589,0.306392418,0.30991577
 Magdalena,PorcentajeNo,Desplazamiento,-8.95E-05,0.350042903,-0.311321233
 Cesar,Abstencion,VotosParaSenado2014,2.29E-08,0.672072265,0.006719116
 Vaupes,PorcentajeNo,HectareasDeCoca,0.000978057,0.140812701,0.166090511
 Boyaca,PorcentajeNo,ParticipacionSegundaVuelta,0.347825133,0.32014419,0.162465873
 Risaralda,PorcentajeSi,VinculacionNinosAdolescentes,0.177720081,0.388975494,0.819561842
 Huila,PorcentajeNo,AfectadoPorElConflictoPares2,-0.036964256,0.64281157,-0.250684793
 Antioquia,PorcentajeSi,TotalPrimeraVuelta,-1.46E-07,0.423043465,-0.072667683
 Norte  de  Santander,PorcentajeSi,MinasAntipersonal,0.06438349,0.334937937,0.822680312
 Vichada,Abstencion,HectareasDeAmapola,0,0.689725,0
 Vaupes,PorcentajeNo,AfectadoPorElConflictoPares2,0.040511111,0.085366667,0.900509597
 Narino,Abstencion,AfectadoPorElConflictoPares2,0.020263635,0.596950428,0.359976672
 Magdalena,PorcentajeSi,ParticipacionSegundaVuelta,1.00309001,0.217801685,0.423398492
 Casanare,PorcentajeSi,HectareasDeAmapola,0,0.377610526,0
 Norte  de  Santander,PorcentajeSi,HectareasDeCoca,0.000135487,0.380268018,0.565162338
 Valle  del  Cauca,PorcentajeNo,HectareasDeCoca,-0.000390531,0.537227578,-0.443269886
 Cundinamarca,Abstencion,AbandonoODespojoDeTierras,0.015090036,0.589167826,0.10051779
 Santander,PorcentajeNo,HectareasDeAmapola,0,0.52184023,0
 Cundinamarca,PorcentajeSi,MinasAntipersonal,0.059503205,0.425576871,0.275823387
 Cesar,PorcentajeNo,ParticipacionSegundaVuelta,0.696389506,0.12060742,0.299436492
 Antioquia,Abstencion,ActosTerroristas,0.001552093,0.689127776,0.105382221
 Choco,Abstencion,HectareasDeCoca,0.000109227,0.670792765,0.172061699
 Tolima,Abstencion,ActosTerroristas,0.001005455,0.635352142,0.125601601
 Cesar,PorcentajeNo,Secuestro,0.001959177,0.456324122,0.072875451
 Huila,Abstencion,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.028913988,0.596815723,0.104433161
 Bogota  D.C.,Abstencion,Homicidio,0.230856668,0.405011699,0
 Quindio,PorcentajeSi,Amenaza,-0.000392663,0.38210965,-0.120776483
 Caldas,Abstencion,Desplazamiento,-1.47E-05,0.638442324,-0.114359442
 Meta,PorcentajeNo,HectareasDeCoca,-0.000129023,0.579312257,-0.365804691
 Antioquia,PorcentajeSi,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.581573244,0.751575358,-0.732849929
 Meta,PorcentajeSi,AbandonoODespojoDeTierras,-0.005928324,0.451683254,-0.151736498
 Narino,PorcentajeNo,MinasAntipersonal,-0.025479694,0.335178863,-0.243189432
 Sucre,PorcentajeNo,AbandonoODespojoDeTierras,-0.000982709,0.349087912,-0.100199696
 Cordoba,Abstencion,VinculacionNinosAdolescentes,-0.01470427,0.683827391,-0.023303679
 Bolivar,PorcentajeSi,TotalSegundaVuelta,-7.06E-07,0.673821608,-0.188072349
 Caldas,PorcentajeNo,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.196838446,0.523763091,0.388697761
 Bolivar,PorcentajeNo,HectareasDeCoca,0.000655214,0.319504386,0.350950196
 Arauca,Abstencion,Desplazamiento,2.57E-05,0.649717392,0.3846819
 Meta,Abstencion,ActosTerroristas,0.001962341,0.563304829,0.212162459
 Putumayo,PorcentajeSi,VotosParaSenado2014,-1.59E-06,0.65805986,-0.047919723
 La  Guajira,Abstencion,HectareasDeCoca,0,0.736873333,0
 Cauca,PorcentajeSi,IndiceRuralidad2014,0.092199145,0.655843737,0.204979496
 Boyaca,PorcentajeNo,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.318236228,0.383198025,0.520852101
 Vichada,PorcentajeNo,VinculacionNinosAdolescentes,-0.292738963,0.650614381,-0.827492556
 Santander,PorcentajeSi,Amenaza,-0.002572231,0.494069169,-0.188504972
 Cundinamarca,Abstencion,VotosParaSenado2014,-3.37E-06,0.605224112,-0.353788835
 Vichada,Abstencion,ActosTerroristas,-0.005886361,0.700997381,-0.066436955
 Vaupes,Abstencion,AbandonoODespojoDeTierras,0,0.76515,0
 Guainia,Abstencion,ParticipacionPrimeraVuelta,-0.905479792,1.018496589,-0.804622389
 Bolivar,Abstencion,Amenaza,-0.001399418,0.738617449,-0.184125113
 La  Guajira,PorcentajeSi,TotalSegundaVuelta,-1.92E-06,0.64871981,-0.258814647
 Vichada,PorcentajeSi,HectareasDeCoca,0.000504826,0.395633333,0.888881962
 Antioquia,PorcentajeSi,Desplazamiento,5.92E-05,0.389229,0.318995482
 Bogota  D.C.,PorcentajeNo,Desplazamiento,0.204761783,0.140247797,0
 Guaviare,Abstencion,HectareasDeAmapola,0,0.667225,0
 Magdalena,Abstencion,AbandonoODespojoDeTierras,0.001680701,0.759817403,0.046340873
 Magdalena,PorcentajeNo,VinculacionNinosAdolescentes,1.035816527,0.281333431,0.430376814
 Magdalena,PorcentajeNo,HectareasDeCoca,-0.008060316,0.306296358,-0.058192107
 Arauca,PorcentajeSi,PorcentajeOscarIvanZuluagaPrimeraVuelta,-0.742661382,0.823303746,-0.891608617
 Caqueta,PorcentajeNo,ActosTerroristas,0.00794241,0.451762313,0.172426922
 Caldas,PorcentajeNo,VotosParaSenado2014,-8.87E-07,0.624017492,-0.296233348
 Narino,Abstencion,ParticipacionSegundaVuelta,-0.605386843,0.932754874,-0.699424869
 Cundinamarca,PorcentajeSi,TotalSegundaVuelta,-4.36E-08,0.434396265,-0.006315584
 Risaralda,PorcentajeSi,AfectadoPorElConflictoPares2,0.170766667,0.408883333,0.764515638
 Sucre,Abstencion,ActosTerroristas,0.000192882,0.654860386,0.100422182
 Valle  del  Cauca,PorcentajeNo,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.7069972,0.374137959,0.65804574
 Atlantico,Abstencion,HectareasDeCoca,0,0.764604348,0
 Choco,PorcentajeNo,ParticipacionSegundaVuelta,0.229412812,0.103944601,0.213155639
 Cauca,Abstencion,CensoElectoral2016,-1.68E-07,0.622492233,-0.083725938
 Casanare,Abstencion,IndiceRuralidad2014,0.008526221,0.503825295,0.026188212
 Bolivar,PorcentajeNo,Desplazamiento,5.12E-06,0.331651004,0.023547838
 Santander,PorcentajeSi,TotalSegundaVuelta,-3.81E-07,0.481688773,-0.090315945
 Quindio,PorcentajeNo,AfectadoPorElConflictoPares2,0,0.622208333,0
 Bogota  D.C.,Abstencion,TotalSegundaVuelta,2.11E-07,8.26E-14,0
 Narino,Abstencion,Secuestro,-0.002038676,0.625163804,-0.16979159
 Antioquia,PorcentajeSi,MinasAntipersonal,0.011813321,0.407282048,0.245671245
 Meta,PorcentajeNo,IndiceRuralidad2014,-0.505820482,0.808140249,-0.729264941
 Risaralda,Abstencion,ParticipacionSegundaVuelta,-0.59683996,0.932420654,-0.394420084
 Casanare,Abstencion,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.207328298,0.390745802,0.458735507
 Caldas,Abstencion,VotosParaSenado2014,-1.36E-06,0.649477046,-0.553456059
 Caqueta,PorcentajeNo,IndiceRuralidad2014,-0.440171501,0.753189978,-0.586054537
 Choco,PorcentajeSi,CensoElectoral2016,-1.36E-06,0.835079287,-0.177743869
 Choco,PorcentajeNo,VinculacionNinosAdolescentes,0.028096756,0.161464484,0.193304027
 Vichada,PorcentajeSi,Secuestro,0.204866044,0.299007056,0.909217696
 Antioquia,PorcentajeNo,CensoElectoral2016,5.99E-08,0.576907564,0.064737301
 Caqueta,Abstencion,CensoElectoral2016,-5.09E-07,0.724852618,-0.294268686
 Quindio,Abstencion,TotalPrimeraVuelta,-2.54E-07,0.603394679,-0.289507406
 Quindio,Abstencion,TotalSegundaVuelta,-2.42E-07,0.603552378,-0.291376399
 Magdalena,Abstencion,MinasAntipersonal,1.049991981,0.743843464,0.483765905
 Vaupes,PorcentajeSi,AbandonoODespojoDeTierras,0,0.853866667,0
 Guaviare,Abstencion,Homicidio,0.004180929,0.459056544,0.570319488
 Santander,PorcentajeNo,VinculacionNinosAdolescentes,0.03831318,0.51701365,0.083610751
 Valle  del  Cauca,PorcentajeSi,Secuestro,-0.054006736,0.491279422,-0.245010996
 Vichada,PorcentajeSi,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.868502262,0.954293518,-0.945709621
 Putumayo,PorcentajeSi,ParticipacionPrimeraVuelta,-0.575882661,0.846417408,-0.35705049
 Putumayo,PorcentajeNo,ParticipacionSegundaVuelta,0.236403382,0.242269083,0.150514545
 Tolima,PorcentajeNo,HectareasDeCoca,0,0.583748936,0
 Huila,Abstencion,PorcentajeOscarIvanZuluagaSegundaVuelta,0.010918781,0.603295408,0.031941
 Tolima,PorcentajeSi,TotalPrimeraVuelta,-1.95E-07,0.418028632,-0.056439273
 Narino,PorcentajeSi,IndiceRuralidad2014,0.004778576,0.67605214,0.005505683
 Amazonas,PorcentajeNo,CensoElectoral2016,1.03E-05,0.151851036,0.893327309
 Caqueta,PorcentajeNo,Secuestro,0.009788353,0.463902343,0.252132613
"Archipielago  de  San  Andres, Providencia y Santa Catalina",Abstencion,ParticipacionSegundaVuelta,-1.325980392,1.113434069,-1
 La  Guajira,Abstencion,Homicidio,-0.003378403,0.807844573,-0.524494825
 Magdalena,PorcentajeNo,VotosParaSenado2014,2.87E-06,0.271050516,0.399860449
 Caldas,PorcentajeNo,PorcentajeOscarIvanZuluagaSegundaVuelta,0.326462578,0.39690723,0.54245384
 Bogota  D.C.,Abstencion,HectareasDeCoca,0,0.5366,0
 Cesar,Abstencion,TotalPrimeraVuelta,-6.20E-08,0.672918566,-0.01840936
 Guaviare,Abstencion,IndiceRuralidad2014,0.341391209,0.496128261,0.751963945
 Antioquia,PorcentajeSi,AbandonoODespojoDeTierras,0.003948303,0.419430364,0.074391025
 Arauca,PorcentajeSi,TotalSegundaVuelta,-3.46E-06,0.547058994,-0.213514461
 Arauca,PorcentajeSi,HectareasDeCoca,0.032968038,0.42856536,0.71213726
 Vichada,Abstencion,VotosParaSenado2014,3.82E-05,0.567688262,0.603018974
 Casanare,PorcentajeSi,Amenaza,0.00784171,0.220132477,0.535145689
 Cauca,PorcentajeSi,MinasAntipersonal,0.000645204,0.724280308,0.006072188
 Cesar,Abstencion,Homicidio,-0.00018593,0.681441086,-0.077525979
 Norte  de  Santander,PorcentajeNo,ActosTerroristas,-0.02434695,0.680908133,-0.777867906
 Sucre,Abstencion,CensoElectoral2016,5.61E-09,0.655949559,0.004127495
 Cundinamarca,PorcentajeSi,CensoElectoral2016,1.53E-08,0.433827651,0.004483488
 Guaviare,Abstencion,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.41549917,0.808806342,-0.984253334
 Norte  de  Santander,PorcentajeSi,ActosTerroristas,0.024346784,0.319095052,0.777856686
 Cordoba,PorcentajeNo,Secuestro,0.024561044,0.327397862,0.099829843
 La  Guajira,PorcentajeSi,Secuestro,0.010799868,0.613504433,0.320278328
 Vaupes,Abstencion,Desplazamiento,-9.03E-05,0.780108872,-0.31120688
 Vaupes,Abstencion,TotalPrimeraVuelta,-1.79E-06,0.766711906,-0.056744909
 Boyaca,PorcentajeNo,VinculacionNinosAdolescentes,0.021806959,0.49825693,0.12250625
 Bogota  D.C.,PorcentajeNo,ParticipacionPrimeraVuelta,0.172028535,0.356093015,0
 Narino,PorcentajeSi,ActosTerroristas,0.00305329,0.659584741,0.282457678
 Meta,PorcentajeNo,ParticipacionSegundaVuelta,1.147894099,-0.031336815,0.588296756
 Boyaca,PorcentajeSi,Amenaza,-0.001907286,0.50539542,-0.143301249
 Bolivar,Abstencion,Homicidio,-0.001777554,0.750758715,-0.322608948
 Meta,Abstencion,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.147698307,0.662711266,-0.302775542
 Antioquia,PorcentajeSi,TotalSegundaVuelta,-1.35E-07,0.42304327,-0.068195601
 Caqueta,PorcentajeNo,AfectadoPorElConflictoPares2,-0.08352,0.6314925,-0.653484661
 Narino,PorcentajeNo,IndiceRuralidad2014,-0.004778576,0.32394786,-0.005505683
 Bolivar,PorcentajeNo,HectareasDeAmapola,0,0.334365217,0
 Valle  del  Cauca,Abstencion,TotalPrimeraVuelta,-4.70E-08,0.650466306,-0.117665273
 Quindio,PorcentajeSi,TotalPrimeraVuelta,3.95E-07,0.37112795,0.26380188
 Atlantico,PorcentajeSi,AbandonoODespojoDeTierras,0,0.692691304,0
 Cesar,Abstencion,VinculacionNinosAdolescentes,0.114953861,0.659479149,0.263021781
 Bogota  D.C.,PorcentajeSi,TotalPrimeraVuelta,2.23E-07,8.87E-14,0
 Sucre,PorcentajeSi,Desplazamiento,2.19E-05,0.641008088,0.204888207
 Cesar,PorcentajeNo,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.598842709,0.291528123,0.430525444
 Valle  del  Cauca,Abstencion,ParticipacionPrimeraVuelta,-0.731464044,0.925396567,-0.622902854
 Caqueta,PorcentajeNo,ParticipacionSegundaVuelta,1.325998665,0.031380665,0.730849497
 La  Guajira,Abstencion,ActosTerroristas,-0.021971785,0.767077214,-0.313417946
 Santander,PorcentajeNo,CensoElectoral2016,1.78E-07,0.518494289,0.087998912
 Norte  de  Santander,PorcentajeNo,TotalPrimeraVuelta,6.56E-07,0.57426187,0.104703393
 Choco,PorcentajeSi,IndiceRuralidad2014,0.279851541,0.648477195,0.57772551
 Huila,Abstencion,Homicidio,0.000511094,0.602576566,0.161178247
 Santander,PorcentajeNo,MinasAntipersonal,0.075610416,0.506587784,0.287427358
 Magdalena,Abstencion,CensoElectoral2016,-5.02E-08,0.762514188,-0.042197936
 Cesar,PorcentajeNo,HectareasDeAmapola,-0.02558183,0.467986039,-0.169402048
 Amazonas,Abstencion,ActosTerroristas,0.01396325,0.73400642,0.158132534
 Narino,PorcentajeNo,Secuestro,-0.003747917,0.328827663,-0.150290878
 Cordoba,PorcentajeSi,Homicidio,-0.001605368,0.689576001,-0.254359267
 La  Guajira,PorcentajeNo,ParticipacionSegundaVuelta,-0.323591547,0.508145386,-0.550266127
 Santander,PorcentajeSi,Desplazamiento,-0.000218875,0.504582293,-0.243479249
 Putumayo,PorcentajeNo,MinasAntipersonal,-0.016957088,0.370422768,-0.183933694
 Cesar,Abstencion,Desplazamiento,2.15E-05,0.66104101,0.134347561
 Narino,Abstencion,Amenaza,-0.000352195,0.625007304,-0.094671446
 Putumayo,PorcentajeNo,VinculacionNinosAdolescentes,-0.000389979,0.34998895,-0.003691622
 Bolivar,PorcentajeSi,Homicidio,-0.000829684,0.67846044,-0.093354191
 Casanare,PorcentajeNo,IndiceRuralidad2014,0.018413454,0.614646713,0.016663422
 La  Guajira,PorcentajeNo,AfectadoPorElConflictoPares2,0.058106897,0.338009195,0.653875083
 Amazonas,Abstencion,Secuestro,-0.038537247,0.756114948,-0.782264484
 Vichada,Abstencion,CensoElectoral2016,1.20E-05,0.548239226,0.960281737
 Cordoba,PorcentajeSi,ParticipacionPrimeraVuelta,-0.26329795,0.763406801,-0.147780446
 Tolima,PorcentajeSi,Homicidio,0.000322746,0.405749181,0.141920158
 Vichada,Abstencion,ParticipacionPrimeraVuelta,-0.885508408,0.967686089,-0.915183115
 Cundinamarca,PorcentajeNo,ActosTerroristas,-0.000538867,0.56634234,-0.008273841
 Cundinamarca,Abstencion,IndiceRuralidad2014,0.149816122,0.497543868,0.502414193
"Archipielago  de  San  Andres, Providencia y Santa Catalina",Abstencion,VinculacionNinosAdolescentes,0,0.7529,0
 Antioquia,Abstencion,VinculacionNinosAdolescentes,0.017709178,0.688462316,0.121380795
 Meta,Abstencion,HectareasDeCoca,2.97E-05,0.567797302,0.197568343
 Tolima,Abstencion,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.028008137,0.62604071,0.107655885
 Boyaca,PorcentajeNo,Homicidio,0.001708113,0.487619675,0.21588299
 Caqueta,Abstencion,Amenaza,-0.000302963,0.740389463,-0.213853167
 Sucre,PorcentajeSi,HectareasDeAmapola,0,0.654069231,0
 Narino,PorcentajeNo,VotosParaSenado2014,1.23E-06,0.312741577,0.116720161
 Meta,PorcentajeNo,CensoElectoral2016,4.50E-07,0.546616095,0.181094065
 Casanare,PorcentajeNo,ParticipacionPrimeraVuelta,0.892633296,0.177797018,0.263336356
 Caqueta,PorcentajeSi,ParticipacionPrimeraVuelta,-1.360980502,0.902864214,-0.782394205
