Variable1,Variable2,pendiente,intercepto,pearson
 Porcentaje  Si,Amenaza,0.000878205776219,0.511914707819,0.013533419815 
 Abstencion,Porcentaje  de  Oscar  Ivan  Zuluaga  (1ra  vuelta),-0.0560559963398,0.665575728712,0.0118019274326 
 Porcentaje  No,Hectareas  de  amapola,-0.00232692946184,0.47563759078,0.00551098401333 
 Abstencion,Total  (1ra  vuelta),-7.7315716686e-08,0.647591124237,0.0056412266517 
 Porcentaje  Si,Total  (1ra  vuelta),-5.03382055372e-08,0.525286420937,0.000572182564725 
 Abstencion,Abandono  o  Despojo  de  Tierras,0.000167271090729,0.646621750253,2.5919045288e-05 
 Abstencion,Participacion  (1ra  vuelta),-0.762040912904,0.942668185934,0.651760388053 
 Abstencion,Porcentaje  de  Oscar  Ivan  Zuluaga  (2da  vuelta),-0.106330247269,0.699364628342,0.066416737319 
 Porcentaje  Si,Hectareas  de  coca,3.91480699207e-05,0.521346511067,0.0202415736566 
 Porcentaje  No,Actos  terroristas,-0.00415628320244,0.487078022876,0.0453559318031 
 Porcentaje  Si,ind  ruralidad  2014,0.129718367837,0.451466185026,0.0344280082039 
 Porcentaje  No,Porcentaje  de  Oscar  Ivan  Zuluaga  (1ra  vuelta),0.699395673791,0.238756045764,0.440266358758 
 Porcentaje  Si,Actos  terroristas,0.00419136893255,0.511923864226,0.046054912566 
 Porcentaje  Si,Abandono  o  Despojo  de  Tierras,0.000750792435612,0.524400157402,0.000124944799123 
 Porcentaje  Si,Censo  electoral  2016,-1.54915151933e-08,0.525172168634,0.000283217237071 
 Porcentaje  Si,Minas  Antipersonal,0.00974612015853,0.519071362245,0.0110700343356 
 Porcentaje  Si,Homicidio,-0.000453434091195,0.53721241731,0.00684485387969 
 Porcentaje  No,Desplazamiento,-8.16018717665e-05,0.499101882835,0.0524340606498 
 Porcentaje  No,Afectado  por  el  conflicto  (Pares)2,-0.063387595145,0.50418321091,0.116282209134 
 Porcentaje  No,Secuestro,-0.000459203602741,0.47510320498,0.000167798343446 
 Porcentaje  Si,Hectareas  de  amapola,0.00234259176562,0.523462971652,0.00557694410583 
 Porcentaje  Si,Desplazamiento,8.26093098189e-05,0.499702103435,0.0536551719435 
 Porcentaje  Si,Afectado  por  el  conflicto  (Pares)2,0.0638781067523,0.494695220803,0.117909594924 
 Abstencion,Amenaza,0.000555360419032,0.638603964548,0.0226184916558 
 Abstencion,Vinculacion  de  Ninos  y  Adolescentes,0.00278736816972,0.645890928752,0.000609183366478 
 Porcentaje  Si,Vinculacion  de  Ninos  y  Adolescentes,0.0202146862988,0.518916308894,0.00766645445166 
 Porcentaje  No,Participacion  (2da  vuelta),0.591802370245,0.189347170585,0.0918952108581 
 Abstencion,ind  ruralidad  2014,0.0292734116285,0.63016195685,0.00732747663517 
 Abstencion,Hectareas  de  coca,1.04398645129e-05,0.645794319383,0.00601605923813 
 Porcentaje  No,Total  (1ra  vuelta),5.18946000928e-08,0.473804227097,0.000609036256218 
 Porcentaje  No,Porcentaje  de  Oscar  Ivan  Zuluaga  (2da  vuelta),0.667041080028,0.143955661015,0.626368461906 
 Porcentaje  No,Amenaza,-0.000857763532002,0.486896542043,0.0129303350761 
 Abstencion,Censo  electoral  2016,-2.21032031622e-08,0.647363957381,0.0024095788062 
 Porcentaje  No,Homicidio,0.000478453724015,0.461205916088,0.00763265036768 
 Abstencion,Desplazamiento,3.41021818087e-05,0.636369371902,0.0382134941833 
 Abstencion,Total  (2da  vuelta),-6.60756011339e-08,0.647585058993,0.00436038900392 
 Porcentaje  Si,Porcentaje  de  Oscar  Ivan  Zuluaga  (2da  vuelta),-0.672383185039,0.857799660859,0.635475426667 
 Porcentaje  No,Votos  para  senado  2014,6.46882324403e-08,0.473782770471,0.000321654505464 
